"","age","rate","value"
"1","65_to_69",3391.9,48977
"2","85_to_89",7297,38596
"3","0_to_4",2081,33430
"4","90+",12277.3,43098
"5","75_to_79",3412.3,35487
"6","50_to_54",7649.5,143544
"7","40_to_44",7420.2,139836
"8","15_to_19",7369.6,120477
"9","70_to_74",2815.3,40798
"10","55_to_59",6261.6,124014
"11","20_to_24",11093.3,166679
"12","60_to_64",5342.4,84655
"13","45_to_49",8119.2,139172
"14","10_to_14",3612.3,62338
"15","80_to_84",4687.5,37709
"16","25_to_29",10044.5,170268
"17","30_to_34",8804.1,164486
"18","35_to_39",7920.6,151078
"19","5_to_9",1994.6,37120
