"","age","rate","value"
"1","55_to_59",5535,109622
"2","10_to_14",3300.5,56958
"3","40_to_44",6599.6,124372
"4","60_to_64",4704.6,74549
"5","80_to_84",4163.1,33490
"6","75_to_79",3034.9,31562
"7","15_to_19",6827.1,111608
"8","90+",10847.8,38080
"9","0_to_4",1771.1,28451
"10","25_to_29",8943.6,151606
"11","20_to_24",9980.2,149954
"12","30_to_34",7769.8,145163
"13","45_to_49",7248.5,124246
"14","5_to_9",1753.6,32636
"15","50_to_54",6771.5,127069
"16","85_to_89",6476.9,34258
"17","70_to_74",2497.8,36198
"18","65_to_69",3005.9,43404
"19","35_to_39",7003.4,133583
