"","age","rate","value"
"1","15_to_19",148.5,2427
"2","40_to_44",513.3,9674
"3","10_to_14",54,932
"4","70_to_74",347.4,5034
"5","25_to_29",662.5,11230
"6","65_to_69",315,4548
"7","90+",3345.8,11745
"8","75_to_79",616.9,6416
"9","0_to_4",42.1,677
"10","45_to_49",651.7,11170
"11","50_to_54",651.8,12232
"12","30_to_34",568.4,10620
"13","55_to_59",557,11031
"14","20_to_24",505.8,7600
"15","5_to_9",43.3,805
"16","80_to_84",1100.2,8851
"17","85_to_89",1963.8,10387
"18","35_to_39",489.4,9335
"19","60_to_64",480.3,7611
