"","age","value","rate"
"1","45_to_49",11490,670.3
"2","15_to_19",2727,166.8
"3","65_to_69",4652,322.2
"4","30_to_34",10993,588.4
"5","35_to_39",9664,506.7
"6","75_to_79",6484,623.5
"7","50_to_54",12537,668.1
"8","80_to_84",8959,1113.7
"9","85_to_89",10486,1982.5
"10","10_to_14",1041,60.3
"11","20_to_24",8030,534.4
"12","70_to_74",5112,352.8
"13","90+",11833,3370.9
"14","5_to_9",888,47.7
"15","25_to_29",11655,687.6
"16","60_to_64",7759,489.7
"17","40_to_44",10009,531.1
"18","0_to_4",758,47.2
"19","55_to_59",11284,569.7
