"","age","rate","value"
"1","45_to_49",2665.8,45323
"2","80_to_84",2736.9,17392
"3","0_to_4",713.4,12080
"4","85_to_89",4008.8,14065
"5","55_to_59",2307,44454
"6","90+",5768.4,9589
"7","75_to_79",1982.1,17853
"8","10_to_14",1305,23653
"9","40_to_44",2341,43288
"10","60_to_64",2218.9,33888
"11","15_to_19",2924.8,50291
"12","70_to_74",1546.7,20573
"13","5_to_9",734.9,13299
"14","30_to_34",2668.7,51590
"15","20_to_24",3827.4,60769
"16","25_to_29",2995,53692
"17","50_to_54",2642.5,48603
"18","35_to_39",2450.9,46581
"19","65_to_69",1705.1,23067
