"","age","rate","value"
"1","90+",8550,14213
"2","75_to_79",3031.2,27302
"3","50_to_54",4960.2,91232
"4","10_to_14",2805.5,50848
"5","5_to_9",1669.6,30213
"6","20_to_24",6535.2,103760
"7","45_to_49",5236.5,89031
"8","25_to_29",5857.4,105007
"9","60_to_64",3970.8,60643
"10","35_to_39",4944.4,93971
"11","65_to_69",2914.2,39423
"12","30_to_34",5290.7,102275
"13","85_to_89",5865.8,20580
"14","0_to_4",1470.3,24895
"15","40_to_44",4744.8,87737
"16","70_to_74",2523.1,33561
"17","55_to_59",4223,81375
"18","80_to_84",4009.4,25478
"19","15_to_19",4789.4,82351
