"","age","rate","value"
"1","10_to_14",5.8,100
"2","40_to_44",119.4,2251
"3","60_to_64",138.8,2200
"4","70_to_74",150.2,2176
"5","65_to_69",120.1,1734
"6","85_to_89",605.9,3205
"7","75_to_79",252.8,2629
"8","30_to_34",129.3,2415
"9","80_to_84",391.3,3148
"10","45_to_49",164.1,2813
"11","0_to_4",11,177
"12","90+",802.2,2816
"13","50_to_54",164.5,3086
"14","35_to_39",109.9,2096
"15","25_to_29",138.5,2348
"16","55_to_59",141.6,2804
"17","15_to_19",15,246
"18","5_to_9",3.7,68
"19","20_to_24",69.3,1041
