age,value,rate
0_to_4,170,200.7
5_to_9,138,130.4
10_to_14,244,259
15_to_19,724,780.9
20_to_24,1090,1220.6
25_to_29,1010,949.8
30_to_34,920,863.5
35_to_39,881,915.2
40_to_44,798,872.9
45_to_49,935,1117.6
50_to_54,981,1011.5
55_to_59,1037,966.5
60_to_64,717,763.6
65_to_69,495,558.9
70_to_74,555,640.6
75_to_79,603,1013.4
80_to_84,568,1430.7
85_to_89,461,2154.6
90+,335,3456.8
