"","age","rate","value"
"1","90+",12101.6,20117
"2","60_to_64",5946.6,90818
"3","50_to_54",7336.4,134938
"4","70_to_74",3564.9,47418
"5","5_to_9",2450.4,44343
"6","30_to_34",8017.4,154986
"7","75_to_79",4240.7,38196
"8","20_to_24",9264.9,147100
"9","25_to_29",8656.8,155192
"10","10_to_14",3731.5,67633
"11","55_to_59",6302.6,121446
"12","40_to_44",7105.7,131393
"13","85_to_89",8102.6,28428
"14","35_to_39",7523.3,142985
"15","15_to_19",6243.4,107352
"16","80_to_84",5448,34620
"17","65_to_69",4254.2,57551
"18","0_to_4",2378.4,40271
"19","45_to_49",7692.4,130786
