age,rate,value
0_to_4,2434.5,2062
5_to_9,2040.3,2160
10_to_14,3200.4,3015
15_to_19,6096.2,5652
20_to_24,9689.8,8653
25_to_29,7778.6,8272
30_to_34,7349.1,7830
35_to_39,7155.1,6888
40_to_44,6927.7,6333
45_to_49,8172.2,6837
50_to_54,7688.2,7456
55_to_59,6692,7180
60_to_64,5681.6,5335
65_to_69,3989.2,3533
70_to_74,3647.4,3160
75_to_79,4497.3,2676
80_to_84,6020,2390
85_to_89,8043.6,1721
90+,12382.6,1200
