"","age","rate","value"
"1","55_to_59",732.2,14502
"2","60_to_64",630.6,9992
"3","15_to_19",466.2,7622
"4","35_to_39",752.1,14345
"5","65_to_69",406.5,5870
"6","85_to_89",2130.7,11270
"7","0_to_4",120.9,1942
"8","30_to_34",867.5,16208
"9","40_to_44",748.2,14100
"10","5_to_9",118.1,2198
"11","90+",3634.6,12759
"12","75_to_79",694.2,7220
"13","20_to_24",1026.3,15421
"14","50_to_54",884.3,16594
"15","45_to_49",899.7,15421
"16","80_to_84",1205.8,9700
"17","25_to_29",1056.8,17914
"18","70_to_74",413.4,5991
"19","10_to_14",166.1,2866
