"","age","rate","value"
"1","30_to_34",8377.3,156512
"2","40_to_44",7083.5,133490
"3","35_to_39",7543.2,143879
"4","90+",11671.6,40972
"5","5_to_9",1891,35192
"6","50_to_54",7300.2,136990
"7","0_to_4",1946.4,31268
"8","25_to_29",9603.4,162792
"9","10_to_14",3483,60108
"10","70_to_74",2681.1,38854
"11","80_to_84",4469.9,35958
"12","85_to_89",6957.3,36799
"13","65_to_69",3229.6,46633
"14","20_to_24",10642.4,159903
"15","15_to_19",7152.5,116929
"16","60_to_64",5082.7,80541
"17","75_to_79",3254.2,33843
"18","55_to_59",5959.4,118028
"19","45_to_49",7762,133049
