"","age","rate","value"
"1","40_to_44",293,5417
"2","60_to_64",435.2,6646
"3","10_to_14",32,580
"4","15_to_19",60.5,1041
"5","75_to_79",806.5,7264
"6","70_to_74",481.8,6408
"7","90+",3266.5,5430
"8","30_to_34",276.8,5350
"9","55_to_59",391.6,7546
"10","50_to_54",409.4,7530
"11","0_to_4",28.2,478
"12","5_to_9",29.3,531
"13","65_to_69",410.3,5550
"14","85_to_89",2122.3,7446
"15","20_to_24",173.7,2758
"16","80_to_84",1319.4,8384
"17","35_to_39",268.2,5097
"18","45_to_49",388,6596
"19","25_to_29",271,4859
