"","age","rate","value"
"1","80_to_84",1074.8,8646
"2","35_to_39",456.9,8714
"3","5_to_9",33.3,619
"4","30_to_34",530.9,9918
"5","15_to_19",128.1,2094
"6","55_to_59",535.1,10597
"7","0_to_4",31.6,508
"8","25_to_29",616.8,10456
"9","50_to_54",624.2,11713
"10","70_to_74",335.4,4860
"11","85_to_89",1924.6,10180
"12","10_to_14",42.6,736
"13","65_to_69",299,4318
"14","40_to_44",482.5,9092
"15","45_to_49",618.9,10609
"16","60_to_64",459.8,7286
"17","90+",3280.3,11515
"18","75_to_79",600,6240
"19","20_to_24",460.7,6922
