"","age","rate","value"
"1","25_to_29",11106.7,188274
"2","30_to_34",9836,183764
"3","0_to_4",2407.5,38675
"4","5_to_9",2265.2,42157
"5","80_to_84",5086.5,40919
"6","10_to_14",3950,68166
"7","60_to_64",5942.3,94162
"8","75_to_79",3727.4,38764
"9","15_to_19",7946.1,129902
"10","70_to_74",3087.9,44749
"11","45_to_49",8937.2,153193
"12","55_to_59",6933.9,137329
"13","85_to_89",7964,42124
"14","65_to_69",3750.8,54159
"15","50_to_54",8439.8,158375
"16","40_to_44",8209,154701
"17","35_to_39",8849.9,168803
"18","20_to_24",12139.6,182400
"19","90+",13419.6,47108
