"","age","rate","value"
"1","80_to_84",1274.2,8097
"2","0_to_4",25.8,437
"3","40_to_44",280.5,5187
"4","25_to_29",254.5,4563
"5","75_to_79",780.6,7031
"6","55_to_59",378,7283
"7","60_to_64",421.4,6436
"8","15_to_19",54.3,934
"9","5_to_9",25.9,469
"10","70_to_74",465.5,6192
"11","20_to_24",160.1,2542
"12","35_to_39",253.6,4819
"13","10_to_14",27.9,505
"14","90+",3142,5223
"15","45_to_49",372.1,6327
"16","50_to_54",395,7266
"17","85_to_89",2054.7,7209
"18","65_to_69",397,5370
"19","30_to_34",262.3,5070
