age,value,rate
0_to_4,461,544.3
5_to_9,423,399.6
10_to_14,701,744.1
15_to_19,2241,2417.1
20_to_24,2889,3235.2
25_to_29,2249,2114.9
30_to_34,2070,1942.9
35_to_39,1864,1936.3
40_to_44,1788,1955.9
45_to_49,1996,2385.8
50_to_54,2068,2132.4
55_to_59,2145,1999.2
60_to_64,1429,1521.8
65_to_69,978,1104.3
70_to_74,951,1097.7
75_to_79,974,1636.9
80_to_84,863,2173.7
85_to_89,682,3187.5
90+,493,5087.2
