"","age","rate","value"
"1","60_to_64",502.2,7958
"2","15_to_19",182.3,2981
"3","10_to_14",66.7,1151
"4","70_to_74",359.6,5211
"5","50_to_54",683.6,12828
"6","30_to_34",610.8,11412
"7","25_to_29",714.2,12107
"8","45_to_49",687.2,11780
"9","35_to_39",525.6,10025
"10","90+",3415.9,11991
"11","40_to_44",548.1,10330
"12","0_to_4",55.3,888
"13","20_to_24",567.2,8522
"14","85_to_89",2007.6,10619
"15","55_to_59",580.5,11497
"16","5_to_9",53.2,991
"17","80_to_84",1123.6,9039
"18","75_to_79",629.9,6551
"19","65_to_69",330,4765
