"","age","rate","value"
"1","30_to_34",2803.1,54187
"2","15_to_19",3063.1,52668
"3","35_to_39",2582.5,49082
"4","60_to_64",2317.1,35387
"5","80_to_84",2846.9,18091
"6","40_to_44",2476.6,45795
"7","20_to_24",3955.2,62798
"8","65_to_69",1775.5,24019
"9","45_to_49",2815.5,47869
"10","90+",6063.1,10079
"11","25_to_29",3131.8,56144
"12","5_to_9",812.5,14703
"13","70_to_74",1607.9,21387
"14","50_to_54",2781,51150
"15","10_to_14",1451.9,26315
"16","75_to_79",2063.7,18588
"17","85_to_89",4177.3,14656
"18","0_to_4",761.3,12891
"19","55_to_59",2408.4,46408
