"","age","rate","value"
"1","0_to_4",43.9,706
"2","90+",3365.2,11813
"3","25_to_29",674.2,11428
"4","55_to_59",562.7,11145
"5","10_to_14",57,984
"6","50_to_54",659.3,12371
"7","70_to_74",350.8,5083
"8","45_to_49",660.7,11325
"9","80_to_84",1105.7,8895
"10","35_to_39",497.3,9485
"11","5_to_9",45.4,845
"12","20_to_24",520.1,7815
"13","30_to_34",578.5,10808
"14","85_to_89",1973.6,10439
"15","75_to_79",619.7,6445
"16","40_to_44",522.1,9839
"17","65_to_69",318.8,4603
"18","60_to_64",485.4,7691
"19","15_to_19",157.3,2572
