"","age","rate","value"
"1","85_to_89",2234.9,11821
"2","65_to_69",500.6,7229
"3","90+",3806.1,13361
"4","10_to_14",262.1,4524
"5","0_to_4",190.5,3061
"6","20_to_24",1689.6,25386
"7","30_to_34",1116.3,20856
"8","50_to_54",1106.6,20765
"9","15_to_19",1323.7,21640
"10","60_to_64",770.2,12204
"11","75_to_79",764.1,7946
"12","55_to_59",910,18022
"13","70_to_74",482.9,6998
"14","45_to_49",1129.8,19366
"15","5_to_9",157,2922
"16","35_to_39",963.5,18378
"17","25_to_29",1360.8,23068
"18","40_to_44",943.4,17778
"19","80_to_84",1287.2,10355
