"","age","rate","value"
"1","10_to_14",4025.4,69468
"2","30_to_34",9940.7,185721
"3","25_to_29",11212.9,190074
"4","80_to_84",5112,41124
"5","50_to_54",8508.4,159661
"6","55_to_59",6987.4,138388
"7","35_to_39",8945.6,170628
"8","90+",13475.7,47305
"9","20_to_24",12248.5,184035
"10","75_to_79",3745.5,38952
"11","60_to_64",5985.6,94847
"12","65_to_69",3774.5,54501
"13","5_to_9",2314.6,43075
"14","0_to_4",2447.4,39316
"15","45_to_49",9017.4,154568
"16","15_to_19",8038.3,131409
"17","70_to_74",3105.9,45010
"18","40_to_44",8293,156285
"19","85_to_89",8000.5,42317
