"","age","rate","value"
"1","5_to_9",18.4,342
"2","55_to_59",463.7,9183
"3","75_to_79",528.2,5493
"4","30_to_34",440.1,8222
"5","15_to_19",88.6,1449
"6","40_to_44",409,7707
"7","45_to_49",532.6,9130
"8","35_to_39",383,7306
"9","90+",2809.9,9864
"10","85_to_89",1671.9,8843
"11","65_to_69",257.6,3719
"12","25_to_29",511,8662
"13","60_to_64",399.7,6334
"14","50_to_54",541.8,10167
"15","20_to_24",360.5,5417
"16","0_to_4",21.2,340
"17","10_to_14",25,431
"18","70_to_74",292.9,4244
"19","80_to_84",936.4,7533
