"","age","rate","value"
"1","85_to_89",1933,10224
"2","50_to_54",628,11785
"3","25_to_29",624.4,10585
"4","45_to_49",623.7,10691
"5","35_to_39",462.2,8816
"6","80_to_84",1079.4,8683
"7","20_to_24",467.7,7027
"8","15_to_19",131.1,2143
"9","90+",3292.5,11558
"10","5_to_9",34.7,645
"11","65_to_69",301.1,4347
"12","10_to_14",43.9,758
"13","70_to_74",337.3,4888
"14","60_to_64",463.1,7338
"15","0_to_4",32.8,527
"16","30_to_34",535.8,10011
"17","75_to_79",604,6281
"18","40_to_44",487,9178
"19","55_to_59",537.8,10652
