"","age","value","rate"
"1","80_to_84",9291,1462.1
"2","10_to_14",1708,94.2
"3","25_to_29",9016,502.9
"4","5_to_9",1510,83.4
"5","20_to_24",7114,448.1
"6","75_to_79",8068,895.7
"7","35_to_39",8579,451.4
"8","40_to_44",8337,450.9
"9","70_to_74",7367,553.8
"10","55_to_59",9743,505.6
"11","90+",5913,3557
"12","15_to_19",3788,220.3
"13","65_to_69",6768,500.3
"14","30_to_34",9321,482.2
"15","45_to_49",9231,542.9
"16","0_to_4",1446,85.4
"17","60_to_64",8297,543.3
"18","50_to_54",9944,540.6
"19","85_to_89",8142,2320.6
