"","age","value","rate"
"1","45_to_49",10748,627
"2","75_to_79",6284,604.2
"3","70_to_74",4897,337.9
"4","50_to_54",11840,631
"5","85_to_89",10229,1933.9
"6","30_to_34",10061,538.5
"7","25_to_29",10636,627.4
"8","90+",11541,3287.7
"9","65_to_69",4355,301.6
"10","60_to_64",7346,463.6
"11","80_to_84",8712,1083
"12","15_to_19",2174,133
"13","20_to_24",7067,470.3
"14","5_to_9",648,34.8
"15","0_to_4",535,33.3
"16","35_to_39",8855,464.2
"17","55_to_59",10702,540.4
"18","10_to_14",766,44.4
"19","40_to_44",9236,490.1
