age,value,rate
0_to_4,166,205.3
5_to_9,145,129.9
10_to_14,210,234.4
15_to_19,1203,1365.4
20_to_24,1735,2088.3
25_to_29,1583,1647.9
30_to_34,1423,1399
35_to_39,1409,1457.3
40_to_44,1394,1490.8
45_to_49,1585,1845.3
50_to_54,1839,1801.3
55_to_59,1632,1441.8
60_to_64,1020,1030.8
65_to_69,508,542.9
70_to_74,463,499.7
75_to_79,534,793.7
80_to_84,607,1212.4
85_to_89,686,2111.9
90+,744,3572.6
