"","age","rate","value"
"1","45_to_49",1852.1,31489
"2","20_to_24",2900.3,46048
"3","65_to_69",1242.5,16808
"4","80_to_84",2174.2,13816
"5","55_to_59",1625.3,31319
"6","90+",4691,7798
"7","70_to_74",1158.2,15406
"8","40_to_44",1608.6,29745
"9","5_to_9",426,7709
"10","50_to_54",1850.1,34028
"11","60_to_64",1582.9,24174
"12","75_to_79",1534.2,13819
"13","85_to_89",3223,11308
"14","25_to_29",2143.4,38425
"15","15_to_19",2185.5,37578
"16","0_to_4",464.7,7868
"17","10_to_14",728.7,13208
"18","35_to_39",1716,32614
"19","30_to_34",1884.1,36421
