age,value,rate
0_to_4,183,216.1
5_to_9,157,148.3
10_to_14,267,283.4
15_to_19,934,1007.4
20_to_24,1228,1375.1
25_to_29,1087,1022.2
30_to_34,998,936.7
35_to_39,939,975.4
40_to_44,865,946.2
45_to_49,989,1182.1
50_to_54,1051,1083.7
55_to_59,1104,1029
60_to_64,754,803
65_to_69,519,586
70_to_74,571,659.1
75_to_79,628,1055.4
80_to_84,578,1455.9
85_to_89,469,2192
90+,338,3487.8
