"","age","rate","value"
"1","25_to_29",8290.7,140539
"2","20_to_24",9298.5,139711
"3","85_to_89",5992.7,31697
"4","5_to_9",1636.9,30463
"5","80_to_84",3859.3,31046
"6","10_to_14",3130.4,54023
"7","60_to_64",4325.8,68547
"8","75_to_79",2814.7,29272
"9","35_to_39",6498.5,123953
"10","70_to_74",2313.1,33521
"11","90+",9919.1,34820
"12","65_to_69",2781.3,40160
"13","0_to_4",1624.2,26091
"14","45_to_49",6730.3,115364
"15","50_to_54",6257.2,117418
"16","55_to_59",5095.6,100920
"17","15_to_19",6491.7,106125
"18","40_to_44",6130.8,115536
"19","30_to_34",7197.9,134477
