"","age","rate","value"
"1","60_to_64",4927.9,75261
"2","20_to_24",7921,125763
"3","70_to_74",3048.5,40550
"4","25_to_29",7254.8,130058
"5","35_to_39",6143.9,116768
"6","80_to_84",4728.4,30047
"7","55_to_59",5237.5,100922
"8","0_to_4",1846.7,31268
"9","85_to_89",6973.6,24467
"10","50_to_54",6119.1,112549
"11","5_to_9",2009.6,36366
"12","40_to_44",5853.2,108232
"13","90+",10325.8,17165
"14","10_to_14",3236.7,58664
"15","75_to_79",3638.2,32770
"16","45_to_49",6420.5,109161
"17","65_to_69",3572.2,48325
"18","15_to_19",5525,95000
"19","30_to_34",6574.4,127091
