"","age","value","rate"
"1","50_to_54",4755,258.5
"2","5_to_9",148,8.2
"3","15_to_19",333,19.4
"4","10_to_14",171,9.4
"5","35_to_39",2783,146.4
"6","0_to_4",329,19.4
"7","65_to_69",3913,289.3
"8","30_to_34",2741,141.8
"9","70_to_74",4635,348.5
"10","45_to_49",4016,236.2
"11","80_to_84",5866,923.1
"12","40_to_44",3181,172
"13","85_to_89",4973,1417.4
"14","60_to_64",4461,292.1
"15","55_to_59",4897,254.1
"16","75_to_79",5296,588
"17","25_to_29",2393,133.5
"18","20_to_24",1057,66.6
"19","90+",3375,2030.3
