"","age","rate","value"
"1","85_to_89",1358.7,4767
"2","70_to_74",337.9,4494
"3","50_to_54",244.6,4499
"4","25_to_29",123.2,2209
"5","0_to_4",19,322
"6","10_to_14",9,163
"7","80_to_84",889.3,5651
"8","75_to_79",570.5,5139
"9","20_to_24",60.1,954
"10","90+",1929.8,3208
"11","45_to_49",223.8,3805
"12","5_to_9",7.3,132
"13","30_to_34",131.3,2538
"14","65_to_69",278.8,3772
"15","35_to_39",135.4,2573
"16","60_to_64",279,4261
"17","15_to_19",17.2,296
"18","55_to_59",241.4,4651
"19","40_to_44",162.8,3011
