"","age","rate","value"
"1","55_to_59",322,6204
"2","10_to_14",15.6,283
"3","20_to_24",111.1,1764
"4","80_to_84",1117.5,7101
"5","75_to_79",690.3,6218
"6","60_to_64",363.2,5547
"7","45_to_49",311.2,5291
"8","90+",2649.9,4405
"9","25_to_29",192.7,3454
"10","0_to_4",22.6,383
"11","5_to_9",14.1,255
"12","15_to_19",34.8,598
"13","30_to_34",203.2,3928
"14","65_to_69",349.4,4727
"15","40_to_44",230.6,4264
"16","50_to_54",334.3,6148
"17","85_to_89",1778.5,6240
"18","35_to_39",200.8,3816
"19","70_to_74",409.7,5450
