"","age","rate","value"
"1","35_to_39",6422,122493
"2","0_to_4",1603.2,25754
"3","60_to_64",4269.1,67648
"4","75_to_79",2785,28963
"5","30_to_34",7108.1,132799
"6","65_to_69",2749.4,39699
"7","25_to_29",8186.2,138768
"8","15_to_19",6435.8,105212
"9","70_to_74",2283.6,33094
"10","85_to_89",5932.4,31378
"11","50_to_54",6180,115969
"12","90+",9824.8,34489
"13","10_to_14",3103.8,53563
"14","20_to_24",9186.9,138035
"15","40_to_44",6062.4,114247
"16","55_to_59",5031,99640
"17","80_to_84",3819.2,30724
"18","5_to_9",1620.2,30152
"19","45_to_49",6650,113987
