"","age","rate","value"
"1","5_to_9",1363.9,24682
"2","15_to_19",4084.8,70237
"3","75_to_79",2595.2,23375
"4","40_to_44",3770.2,69716
"5","45_to_49",4207.6,71537
"6","25_to_29",4593.1,82341
"7","50_to_54",3979.1,73187
"8","65_to_69",2370.6,32070
"9","80_to_84",3511.5,22314
"10","70_to_74",2091.7,27823
"11","0_to_4",1185.4,20071
"12","90+",7514.1,12491
"13","35_to_39",3905.8,74232
"14","10_to_14",2392.3,43359
"15","85_to_89",5176.9,18163
"16","30_to_34",4160.7,80432
"17","55_to_59",3383.7,65201
"18","60_to_64",3175.7,48500
"19","20_to_24",5277.6,83794
