"","age","rate","value"
"1","80_to_84",5438.8,34561
"2","35_to_39",7501.2,142564
"3","75_to_79",4233.3,38130
"4","70_to_74",3558.4,47332
"5","0_to_4",2368.9,40110
"6","40_to_44",7083.7,130986
"7","15_to_19",6225.3,107041
"8","5_to_9",2441.6,44183
"9","85_to_89",8086.1,28370
"10","25_to_29",8630.3,154718
"11","20_to_24",9241.5,146729
"12","30_to_34",7989.9,154455
"13","50_to_54",7317.2,134584
"14","10_to_14",3718.1,67390
"15","90+",12078.8,20079
"16","45_to_49",7671.8,130435
"17","55_to_59",6286.8,121143
"18","65_to_69",4245.7,57436
"19","60_to_64",5931.6,90590
