age,value,rate
0_to_4,172,212.8
5_to_9,156,139.8
10_to_14,221,246.7
15_to_19,1294,1468.7
20_to_24,1795,2160.5
25_to_29,1615,1681.3
30_to_34,1455,1430.4
35_to_39,1436,1485.2
40_to_44,1433,1532.5
45_to_49,1627,1894.2
50_to_54,1878,1839.5
55_to_59,1677,1481.6
60_to_64,1042,1053
65_to_69,522,557.8
70_to_74,476,513.8
75_to_79,546,811.5
80_to_84,622,1242.3
85_to_89,694,2136.6
90+,757,3635.1
