n,area_number,actual_data,synthetic_cntrl,difference,area_name,date
22,1,.50251132,.58370298,-.081191674,Barking and Dagenham,18apr2020
9,1,.78174043,.92327029,-.14152989,Barking and Dagenham,05apr2020
7,1,.84176898,.99352819,-.15175919,Barking and Dagenham,03apr2020
31,1,.84005845,.86386681,-.023808334,Barking and Dagenham,27apr2020
19,1,.51389891,.78321522,-.26931629,Barking and Dagenham,15apr2020
61,1,.73292291,.28453401,.4483889,Barking and Dagenham,27may2020
65,1,.75166404,.24513683,.50652719,Barking and Dagenham,31may2020
60,1,.73673373,.29099596,.44573778,Barking and Dagenham,26may2020
77,1,.87452686,.069355808,.80517107,Barking and Dagenham,12jun2020
78,1,.87062365,.058396857,.81222677,Barking and Dagenham,13jun2020
49,1,.46167397,.33336854,.12830542,Barking and Dagenham,15may2020
33,1,.76488537,.80436546,-.039480064,Barking and Dagenham,29apr2020
53,1,.46294352,.39575866,.067184858,Barking and Dagenham,19may2020
82,1,.68859464,.035315461,.65327919,Barking and Dagenham,17jun2020
12,1,.70800388,.90592498,-.19792107,Barking and Dagenham,08apr2020
66,1,.79928881,.2341723,.56511652,Barking and Dagenham,01jun2020
51,1,.44005093,.39520863,.044842299,Barking and Dagenham,17may2020
90,1,.018633898,.0058727125,.012761186,Barking and Dagenham,25jun2020
46,1,.53775573,.24460034,.29315537,Barking and Dagenham,12may2020
28,1,.8060264,.77635449,.02967193,Barking and Dagenham,24apr2020
79,1,.85581595,.050036095,.80577987,Barking and Dagenham,14jun2020
89,1,.049210947,.0086376434,.040573303,Barking and Dagenham,24jun2020
27,1,.75443995,.70696002,.047479939,Barking and Dagenham,23apr2020
18,1,.5359984,.85560614,-.31960776,Barking and Dagenham,14apr2020
45,1,.56193054,.24226119,.31966934,Barking and Dagenham,11may2020
32,1,.80938029,.84176713,-.032386858,Barking and Dagenham,28apr2020
37,1,.60202813,.60633808,-.0043099299,Barking and Dagenham,03may2020
43,1,.59112787,.28894615,.30218172,Barking and Dagenham,09may2020
6,1,.87983525,1.0425171,-.16268177,Barking and Dagenham,02apr2020
55,1,.54845929,.35396451,.1944948,Barking and Dagenham,21may2020
14,1,.65385646,.93266511,-.27880865,Barking and Dagenham,10apr2020
10,1,.75566447,.90443313,-.14876868,Barking and Dagenham,06apr2020
17,1,.56263274,.90812743,-.34549469,Barking and Dagenham,13apr2020
2,1,1.1827486,1.3022777,-.11952914,Barking and Dagenham,29mar2020
26,1,.69095832,.63615239,.054805931,Barking and Dagenham,22apr2020
15,1,.62291068,.94042349,-.31751284,Barking and Dagenham,11apr2020
74,1,.91027391,.10920807,.80106586,Barking and Dagenham,09jun2020
5,1,.92891067,1.1001209,-.17121021,Barking and Dagenham,01apr2020
8,1,.81006259,.95373583,-.14367326,Barking and Dagenham,04apr2020
85,1,.36175478,.022369385,.33938539,Barking and Dagenham,20jun2020
3,1,1.0789369,1.2319121,-.15297519,Barking and Dagenham,30mar2020
54,1,.49945748,.37653747,.12292001,Barking and Dagenham,20may2020
63,1,.71410739,.2660009,.4481065,Barking and Dagenham,29may2020
76,1,.87664515,.081728294,.79491687,Barking and Dagenham,11jun2020
56,1,.60112685,.33345887,.26766798,Barking and Dagenham,22may2020
57,1,.65115732,.31683618,.33432114,Barking and Dagenham,23may2020
23,1,.52677685,.55370843,-.026931591,Barking and Dagenham,19apr2020
39,1,.57794785,.48911697,.088830873,Barking and Dagenham,05may2020
30,1,.85099852,.86202908,-.011030546,Barking and Dagenham,26apr2020
83,1,.58826309,.030821707,.55744141,Barking and Dagenham,18jun2020
80,1,.8230322,.044493537,.77853864,Barking and Dagenham,15jun2020
75,1,.88743556,.0946211,.79281443,Barking and Dagenham,10jun2020
70,1,.98087633,.18417399,.79670233,Barking and Dagenham,05jun2020
52,1,.44397637,.40414241,.039833952,Barking and Dagenham,18may2020
1,1,1.3052992,1.3734622,-.068163097,Barking and Dagenham,28mar2020
47,1,.51044232,.2649076,.24553472,Barking and Dagenham,13may2020
50,1,.44673276,.3690246,.077708162,Barking and Dagenham,16may2020
69,1,.95875728,.1980214,.76073587,Barking and Dagenham,04jun2020
29,1,.83937472,.83153629,.0078384448,Barking and Dagenham,25apr2020
25,1,.62539494,.58019072,.045204241,Barking and Dagenham,21apr2020
67,1,.85783339,.22252023,.63531315,Barking and Dagenham,02jun2020
48,1,.48365507,.2967982,.18685688,Barking and Dagenham,14may2020
42,1,.59313506,.32894701,.26418805,Barking and Dagenham,08may2020
36,1,.63059604,.66066486,-.030068789,Barking and Dagenham,02may2020
72,1,.96674961,.14770047,.81904912,Barking and Dagenham,07jun2020
21,1,.49440208,.6367954,-.14239334,Barking and Dagenham,17apr2020
59,1,.72342879,.29703537,.42639342,Barking and Dagenham,25may2020
88,1,.09962821,.01158482,.088043392,Barking and Dagenham,23jun2020
35,1,.66874993,.7113089,-.042558957,Barking and Dagenham,01may2020
13,1,.68249005,.91906941,-.23657936,Barking and Dagenham,09apr2020
38,1,.58463192,.54863161,.036000337,Barking and Dagenham,04may2020
86,1,.25778821,.018459672,.23932853,Barking and Dagenham,21jun2020
73,1,.93969542,.12731256,.81238288,Barking and Dagenham,08jun2020
81,1,.7676239,.040007602,.72761631,Barking and Dagenham,16jun2020
41,1,.58751988,.37597352,.21154638,Barking and Dagenham,07may2020
64,1,.72295636,.25564557,.46731079,Barking and Dagenham,30may2020
58,1,.69352967,.30482644,.38870323,Barking and Dagenham,24may2020
20,1,.49918047,.70590937,-.20672891,Barking and Dagenham,16apr2020
40,1,.58011317,.43018016,.14993303,Barking and Dagenham,06may2020
34,1,.71506524,.759413,-.044347778,Barking and Dagenham,30apr2020
