"","age","rate","value"
"1","45_to_49",797,13661
"2","70_to_74",388.9,5636
"3","35_to_39",641.3,12232
"4","0_to_4",90.4,1452
"5","15_to_19",324.4,5303
"6","25_to_29",912.8,15474
"7","5_to_9",88.8,1652
"8","50_to_54",782.8,14689
"9","75_to_79",663.8,6903
"10","65_to_69",369.1,5330
"11","20_to_24",824.8,12393
"12","30_to_34",752.2,14053
"13","55_to_59",658.8,13047
"14","40_to_44",649.4,12239
"15","90+",3553.5,12474
"16","60_to_64",569.4,9023
"17","85_to_89",2078.9,10996
"18","10_to_14",110.3,1903
"19","80_to_84",1170.6,9417
