"","age","rate","value"
"1","35_to_39",4668.5,89048
"2","0_to_4",1184.5,19028
"3","75_to_79",2127.5,22126
"4","80_to_84",3016.6,24267
"5","5_to_9",1209.2,22504
"6","60_to_64",3095.4,49049
"7","10_to_14",2432.6,41980
"8","55_to_59",3664.7,72580
"9","50_to_54",4538.6,85167
"10","85_to_89",4758.9,25171
"11","20_to_24",6769,101705
"12","45_to_49",4930.7,84518
"13","65_to_69",1992.1,28765
"14","40_to_44",4462.4,84096
"15","15_to_19",5128.2,83836
"16","90+",7851.8,27563
"17","30_to_34",5117.5,95610
"18","25_to_29",5872.8,99552
"19","70_to_74",1694.3,24553
