"","age","rate","value"
"1","30_to_34",477.1,8913
"2","45_to_49",570.4,9777
"3","80_to_84",1003.9,8076
"4","35_to_39",412.2,7862
"5","50_to_54",579.6,10877
"6","25_to_29",553.9,9389
"7","20_to_24",401.9,6038
"8","90+",3056.1,10728
"9","0_to_4",23.1,371
"10","85_to_89",1795.1,9495
"11","65_to_69",275.1,3972
"12","70_to_74",310.7,4503
"13","15_to_19",102.8,1680
"14","10_to_14",31.4,542
"15","55_to_59",497.3,9850
"16","60_to_64",426.6,6760
"17","40_to_44",438.6,8265
"18","5_to_9",23.5,437
"19","75_to_79",561.1,5835
