"","age","rate","value"
"1","85_to_89",1398.3,7396
"2","25_to_29",425.5,7212
"3","70_to_74",257,3724
"4","5_to_9",10.6,197
"5","90+",2301.2,8078
"6","15_to_19",64.8,1060
"7","75_to_79",458.7,4770
"8","0_to_4",18.4,296
"9","35_to_39",320.6,6116
"10","30_to_34",371.1,6933
"11","20_to_24",280.6,4216
"12","45_to_49",456.2,7819
"13","40_to_44",345.8,6516
"14","60_to_64",341.8,5416
"15","65_to_69",225.4,3254
"16","10_to_14",15.9,274
"17","80_to_84",806.6,6489
"18","50_to_54",461.3,8656
"19","55_to_59",393.6,7795
