"","age","rate","value"
"1","35_to_39",634.7,12106
"2","75_to_79",661.9,6884
"3","0_to_4",88,1414
"4","40_to_44",642.6,12110
"5","60_to_64",566.3,8974
"6","85_to_89",2077.4,10988
"7","55_to_59",653.7,12946
"8","90+",3557.7,12489
"9","65_to_69",367.1,5300
"10","25_to_29",902.2,15294
"11","45_to_49",789,13524
"12","10_to_14",106.2,1832
"13","15_to_19",315.9,5164
"14","20_to_24",811.1,12187
"15","70_to_74",386.8,5606
"16","80_to_84",1166.3,9382
"17","5_to_9",86.3,1607
"18","30_to_34",745.1,13920
"19","50_to_54",777,14581
