age,rate,value
0_to_4,1788.7,1515
5_to_9,1586.9,1680
10_to_14,2582.6,2433
15_to_19,5052.2,4684
20_to_24,7669.7,6849
25_to_29,5905.4,6280
30_to_34,5591.2,5957
35_to_39,5556.4,5349
40_to_44,5457.5,4989
45_to_49,6448.6,5395
50_to_54,5953.8,5774
55_to_59,5180.3,5558
60_to_64,4381.3,4114
65_to_69,3094.9,2741
70_to_74,2832.5,2454
75_to_79,3552.8,2114
80_to_84,4591.8,1823
85_to_89,5959.1,1275
90+,9142.5,886
