"","age","rate","value"
"1","70_to_74",2758.7,39979
"2","90+",12019.5,42193
"3","75_to_79",3341.1,34747
"4","25_to_29",9864.9,167224
"5","50_to_54",7501,140757
"6","40_to_44",7280.5,137204
"7","60_to_64",5228.5,82850
"8","35_to_39",7756.9,147955
"9","10_to_14",3554.5,61341
"10","5_to_9",1949.6,36283
"11","85_to_89",7153.3,37836
"12","65_to_69",3321.7,47963
"13","45_to_49",7968.9,136595
"14","55_to_59",6129.8,121403
"15","30_to_34",8622.2,161088
"16","80_to_84",4596.4,36976
"17","15_to_19",7274.6,118925
"18","0_to_4",2024.9,32529
"19","20_to_24",10910.6,163934
