age,value,rate
0_to_4,178,210.2
5_to_9,148,139.8
10_to_14,261,277
15_to_19,834,899.6
20_to_24,1170,1310.2
25_to_29,1057,994
30_to_34,971,911.4
35_to_39,915,950.5
40_to_44,835,913.4
45_to_49,964,1152.3
50_to_54,1023,1054.9
55_to_59,1082,1008.5
60_to_64,740,788.1
65_to_69,510,575.9
70_to_74,563,649.8
75_to_79,619,1040.3
80_to_84,576,1450.8
85_to_89,469,2192
90+,336,3467.1
