"","age","rate","value"
"1","70_to_74",416.5,6036
"2","75_to_79",697.4,7253
"3","55_to_59",741.3,14682
"4","85_to_89",2138.1,11309
"5","60_to_64",638.8,10122
"6","35_to_39",766.1,14612
"7","50_to_54",896.9,16830
"8","15_to_19",493.9,8075
"9","40_to_44",759.6,14314
"10","80_to_84",1210.1,9735
"11","25_to_29",1075.2,18226
"12","45_to_49",912.9,15648
"13","20_to_24",1058,15897
"14","90+",3646.9,12802
"15","30_to_34",882.2,16482
"16","5_to_9",120.3,2238
"17","10_to_14",173,2985
"18","65_to_69",411.6,5943
"19","0_to_4",124.4,1998
