"","age","rate","value"
"1","5_to_9",707.9,12811
"2","60_to_64",2183.5,33348
"3","90+",5668.5,9423
"4","35_to_39",2404.8,45704
"5","20_to_24",3779,60000
"6","30_to_34",2621.5,50676
"7","65_to_69",1679.6,22722
"8","70_to_74",1525.1,20286
"9","50_to_54",2597.5,47775
"10","10_to_14",1249.5,22647
"11","25_to_29",2945.6,52806
"12","85_to_89",3947.8,13851
"13","15_to_19",2872.6,49393
"14","40_to_44",2291.4,42371
"15","75_to_79",1950.9,17572
"16","0_to_4",694.7,11762
"17","45_to_49",2611.8,44405
"18","80_to_84",2699.5,17154
"19","55_to_59",2268.2,43707
