"","age","rate","value"
"1","45_to_49",3250.7,55268
"2","25_to_29",3536.5,63400
"3","70_to_74",1767.2,23506
"4","80_to_84",3105.8,19736
"5","65_to_69",1955.9,26459
"6","90+",6673.7,11094
"7","40_to_44",2875.9,53179
"8","5_to_9",1027.8,18600
"9","35_to_39",2980.2,56640
"10","10_to_14",1861.4,33737
"11","60_to_64",2578.5,39380
"12","50_to_54",3148.4,57908
"13","0_to_4",901.7,15268
"14","20_to_24",4341.8,68936
"15","15_to_19",3459.6,59487
"16","55_to_59",2699.3,52014
"17","75_to_79",2251.9,20283
"18","85_to_89",4588.3,16098
"19","30_to_34",3193.9,61742
