"","age","rate","value"
"1","85_to_89",4825.7,16931
"2","40_to_44",3173.8,58688
"3","45_to_49",3566.4,60636
"4","10_to_14",2088.8,37858
"5","80_to_84",3253.1,20672
"6","35_to_39",3288.3,62496
"7","50_to_54",3417.2,62852
"8","70_to_74",1874,24927
"9","5_to_9",1153.7,20877
"10","55_to_59",2916.2,56193
"11","0_to_4",1000.1,16934
"12","30_to_34",3530.4,68247
"13","90+",6992,11623
"14","25_to_29",3908.5,70069
"15","60_to_64",2768.3,42279
"16","65_to_69",2085.9,28218
"17","20_to_24",4663.2,74038
"18","75_to_79",2375.6,21397
"19","15_to_19",3704.2,63692
