"","age","rate","value"
"1","10_to_14",3579.3,64873
"2","35_to_39",7100.7,134953
"3","90+",11649.2,19365
"4","50_to_54",6976.7,128322
"5","70_to_74",3428.9,45609
"6","45_to_49",7316.1,124388
"7","40_to_44",6721.6,124289
"8","20_to_24",8853.7,140572
"9","25_to_29",8233.3,147600
"10","75_to_79",4089.9,36838
"11","30_to_34",7575.1,146435
"12","60_to_64",5650.9,86302
"13","80_to_84",5270.1,33489
"14","85_to_89",7822.4,27445
"15","55_to_59",5993,115481
"16","15_to_19",6017.8,103474
"17","0_to_4",2221.5,37614
"18","65_to_69",4066.2,55007
"19","5_to_9",2319.9,41981
