"","age","rate","value"
"1","25_to_29",9708.1,164566
"2","30_to_34",8477.6,158385
"3","20_to_24",10751.2,161539
"4","75_to_79",3289.8,34213
"5","35_to_39",7631.4,145562
"6","45_to_49",7847.4,134513
"7","90+",11783,41363
"8","5_to_9",1916.2,35662
"9","65_to_69",3267.4,47180
"10","15_to_19",7203.5,117762
"11","0_to_4",1981,31823
"12","55_to_59",6028.4,119395
"13","85_to_89",7026.3,37164
"14","50_to_54",7381.6,138518
"15","10_to_14",3512.3,60613
"16","80_to_84",4515.6,36326
"17","70_to_74",2713.2,39319
"18","40_to_44",7165.2,135030
"19","60_to_64",5140.7,81459
