"","age","rate","value"
"1","55_to_59",6739.7,133481
"2","90+",13161.2,46201
"3","40_to_44",7972.9,150251
"4","15_to_19",7750.8,126709
"5","30_to_34",9516.6,177797
"6","45_to_49",8701.2,149147
"7","80_to_84",4991.2,40152
"8","70_to_74",3020.1,43767
"9","85_to_89",7795.2,41231
"10","50_to_54",8208.7,154038
"11","60_to_64",5769,91416
"12","25_to_29",10788.3,182877
"13","0_to_4",2311,37125
"14","35_to_39",8567.5,163416
"15","75_to_79",3652.6,37986
"16","5_to_9",2178.6,40544
"17","20_to_24",11828.4,177724
"18","10_to_14",3833.1,66149
"19","65_to_69",3653.7,52757
