"","age","rate","value"
"1","40_to_44",298.2,5514
"2","55_to_59",397,7650
"3","10_to_14",33.9,614
"4","70_to_74",485.9,6463
"5","15_to_19",63.2,1087
"6","75_to_79",811.6,7310
"7","0_to_4",29.5,499
"8","30_to_34",283.5,5481
"9","35_to_39",273.2,5192
"10","80_to_84",1331.8,8463
"11","65_to_69",413.4,5593
"12","5_to_9",30.7,555
"13","45_to_49",394.7,6711
"14","90+",3289.3,5468
"15","20_to_24",180.6,2867
"16","25_to_29",276.5,4956
"17","50_to_54",414,7615
"18","60_to_64",439.4,6710
"19","85_to_89",2141.1,7512
