"","age","rate","value"
"1","80_to_84",1429.2,9082
"2","10_to_14",64.1,1161
"3","0_to_4",57.3,971
"4","20_to_24",278.5,4422
"5","75_to_79",868.9,7826
"6","15_to_19",117.1,2013
"7","45_to_49",471.8,8022
"8","85_to_89",2280.2,8000
"9","55_to_59",456.1,8789
"10","5_to_9",55.9,1011
"11","30_to_34",382.3,7391
"12","60_to_64",498.2,7609
"13","50_to_54",482.4,8872
"14","90+",3499.9,5818
"15","40_to_44",380.2,7031
"16","65_to_69",468.1,6332
"17","25_to_29",373.7,6700
"18","35_to_39",364.1,6919
"19","70_to_74",527.9,7022
