"","age","value","rate"
"1","25_to_29",2653,148
"2","50_to_54",5118,278.3
"3","45_to_49",4359,256.4
"4","10_to_14",188,10.4
"5","85_to_89",5264,1500.4
"6","5_to_9",167,9.2
"7","40_to_44",3484,188.4
"8","70_to_74",4838,363.7
"9","60_to_64",4774,312.6
"10","30_to_34",3039,157.2
"11","65_to_69",4118,304.4
"12","20_to_24",1241,78.2
"13","0_to_4",343,20.3
"14","90+",3637,2187.9
"15","55_to_59",5249,272.4
"16","15_to_19",387,22.5
"17","35_to_39",3044,160.2
"18","80_to_84",6171,971.1
"19","75_to_79",5508,611.5
