"","age","rate","value"
"1","65_to_69",262.6,3792
"2","15_to_19",93,1521
"3","90+",2867.8,10067
"4","70_to_74",298.1,4320
"5","75_to_79",537.9,5594
"6","60_to_64",407.7,6461
"7","25_to_29",524.3,8888
"8","55_to_59",474.2,9392
"9","0_to_4",21.4,343
"10","20_to_24",372.7,5600
"11","5_to_9",20.4,380
"12","50_to_54",552.2,10363
"13","40_to_44",418.6,7888
"14","80_to_84",953.7,7672
"15","30_to_34",451.2,8429
"16","35_to_39",391.3,7463
"17","85_to_89",1702.3,9004
"18","10_to_14",26.9,465
"19","45_to_49",543.8,9321
