age,value,rate
0_to_4,560,692.7
5_to_9,539,482.9
10_to_14,865,965.7
15_to_19,3319,3767.1
20_to_24,4221,5080.6
25_to_29,3760,3914.3
30_to_34,3410,3352.4
35_to_39,3175,3283.8
40_to_44,3102,3317.5
45_to_49,3440,4004.9
50_to_54,3762,3684.9
55_to_59,3346,2956.1
60_to_64,2128,2150.5
65_to_69,1121,1197.9
70_to_74,1035,1117.1
75_to_79,1043,1550.2
80_to_84,1136,2268.9
85_to_89,1188,3657.4
90+,1286,6175.3
