"","age","rate","value"
"1","75_to_79",829.3,7470
"2","55_to_59",408.3,7867
"3","40_to_44",311.6,5762
"4","0_to_4",32.5,550
"5","50_to_54",426.5,7845
"6","80_to_84",1360.6,8646
"7","70_to_74",494.8,6581
"8","85_to_89",2185,7666
"9","45_to_49",408,6936
"10","65_to_69",424.6,5744
"11","10_to_14",37.9,687
"12","60_to_64",452.5,6911
"13","5_to_9",33.9,613
"14","20_to_24",192.1,3050
"15","90+",3357.3,5581
"16","35_to_39",287.2,5459
"17","15_to_19",68.7,1182
"18","30_to_34",298.5,5771
"19","25_to_29",291.8,5231
