"","age","rate","value"
"1","35_to_39",8388.5,160002
"2","50_to_54",8054.5,151145
"3","70_to_74",2966.2,42986
"4","25_to_29",10589.5,179507
"5","90+",12949,45456
"6","85_to_89",7678,40611
"7","20_to_24",11625.2,174670
"8","45_to_49",8542.6,146429
"9","0_to_4",2248.7,36124
"10","5_to_9",2129,39621
"11","60_to_64",5651.3,89551
"12","40_to_44",7825.1,147466
"13","15_to_19",7646.4,125002
"14","80_to_84",4913.4,39526
"15","75_to_79",3595.2,37389
"16","10_to_14",3776.4,65170
"17","30_to_34",9318.7,174100
"18","55_to_59",6607.4,130862
"19","65_to_69",3586.2,51783
