age,value,rate
0_to_4,501,591.5
5_to_9,485,458.1
10_to_14,772,819.5
15_to_19,2350,2534.7
20_to_24,3082,3451.3
25_to_29,2470,2322.7
30_to_34,2261,2122.1
35_to_39,2034,2112.9
40_to_44,1938,2120
45_to_49,2188,2615.3
50_to_54,2272,2342.8
55_to_59,2328,2169.8
60_to_64,1583,1685.8
65_to_69,1076,1214.9
70_to_74,1026,1184.3
75_to_79,1051,1766.3
80_to_84,932,2347.5
85_to_89,733,3425.9
90+,538,5551.5
