"","age","rate","value"
"1","75_to_79",637.7,6632
"2","60_to_64",518.7,8220
"3","35_to_39",551.3,10515
"4","85_to_89",2029.4,10734
"5","0_to_4",64,1028
"6","90+",3452.9,12121
"7","65_to_69",339.8,4907
"8","50_to_54",704.3,13217
"9","30_to_34",647.2,12092
"10","15_to_19",211.3,3454
"11","5_to_9",60.3,1123
"12","80_to_84",1134.9,9130
"13","20_to_24",625.5,9398
"14","45_to_49",713.4,12228
"15","70_to_74",365.4,5296
"16","10_to_14",75.7,1307
"17","40_to_44",572.7,10792
"18","55_to_59",597.2,11827
"19","25_to_29",763.7,12945
