"","age","rate","value"
"1","80_to_84",1432.8,11526
"2","25_to_29",1813,30733
"3","35_to_39",1292.3,24649
"4","65_to_69",651.6,9409
"5","60_to_64",1006.4,15948
"6","15_to_19",2094.2,34235
"7","0_to_4",284.3,4567
"8","20_to_24",2476,37202
"9","85_to_89",2423.4,12818
"10","90+",4078.5,14317
"11","55_to_59",1194,23648
"12","40_to_44",1250.1,23559
"13","30_to_34",1492.7,27887
"14","70_to_74",595.7,8633
"15","75_to_79",892.9,9286
"16","5_to_9",230.2,4284
"17","50_to_54",1447.3,27159
"18","45_to_49",1483.3,25426
"19","10_to_14",410,7076
